Make,Model,Year,Price (PKR),Mileage (KM),Fuel Type,Transmission,City,Condition
Changan,Karvaan,2019,1376653,130507,Hybrid,Manual,Karachi,Used
Suzuki,Swift,2016,554799,130198,Petrol,Automatic,Karachi,Used
Audi,A3,2024,10481075,104454,Petrol,Automatic,Sialkot,Used
Toyota,Vitz,2024,2025283,116891,Petrol,Automatic,Quetta,Used
Suzuki,Mehran,2011,400000,20184,Petrol,Automatic,Karachi,Used
Suzuki,Mehran,2018,499080,7,Petrol,Automatic,Quetta,New
Suzuki,Alto,2010,758854,81654,Petrol,Manual,Quetta,Used
Honda,Civic,2002,2746613,134742,Diesel,Manual,Rawalpindi,Used
Toyota,Aqua,2011,2051499,143109,Diesel,Manual,Sialkot,Used
Honda,Civic,2011,2802579,25564,Petrol,Automatic,Sialkot,Used
Suzuki,Mehran,2006,504239,66631,Petrol,Manual,Lahore,Used
Suzuki,Alto,2008,400000,27149,Petrol,Manual,Quetta,Used
Suzuki,Swift,2012,471771,104438,Petrol,Manual,Sialkot,Used
Suzuki,Wagon R,2001,626361,164577,Diesel,Manual,Faisalabad,Used
Hyundai,Elantra,2024,3320646,100,Diesel,Automatic,Lahore,New
Honda,BR-V,2017,3240253,141029,Petrol,Manual,Quetta,Used
Hyundai,Elantra,2004,1558041,27422,Electric,Manual,Peshawar,Used
Honda,Civic,2019,2363033,176188,Diesel,Automatic,Lahore,Used
Toyota,Aqua,2008,2071068,9526,Petrol,Manual,Karachi,Used
Changan,Karvaan,2020,2119469,20357,Petrol,Automatic,Faisalabad,Used
Nissan,Juke,2010,2737399,72634,Diesel,Manual,Faisalabad,Used
Daihatsu,Mira,2007,1665684,65993,Petrol,Automatic,Islamabad,Used
Kia,Sorento,2018,3521892,20941,Hybrid,Manual,Faisalabad,Used
Suzuki,Wagon R,2017,1074418,96679,Petrol,Manual,Lahore,Used
Honda,City,2006,1716216,23715,Petrol,Manual,Islamabad,Used
Suzuki,Mehran,2011,400000,128387,Hybrid,Manual,Karachi,Used
Suzuki,Alto,2009,1069756,32848,Petrol,Manual,Sialkot,Used
Kia,Stonic,2006,3507067,177244,Diesel,Manual,Lahore,Used
BMW,X1,2018,10736402,114597,Petrol,Automatic,Sialkot,Used
Hyundai,Santro,2021,3165138,75564,Petrol,Manual,Rawalpindi,Used
Toyota,Aqua,2007,1106995,121656,Diesel,Manual,Peshawar,Used
Suzuki,Mehran,2016,512223,77,Petrol,Manual,Rawalpindi,New
Honda,City,2017,2533156,179562,Petrol,Manual,Faisalabad,Used
Toyota,Corolla,2002,2750332,155998,Petrol,Automatic,Islamabad,Used
Daihatsu,Mira,2005,843588,128171,Diesel,Automatic,Karachi,Used
Daihatsu,Mira,2022,1731543,139977,Diesel,Manual,Multan,Used
Toyota,Vitz,2022,2659372,93292,Diesel,Manual,Lahore,Used
Changan,Alsvin,2002,1254386,112184,Petrol,Manual,Faisalabad,Used
Hyundai,Elantra,2023,3886022,26964,Petrol,Automatic,Peshawar,Used
Kia,Sorento,2012,1201162,159161,Petrol,Automatic,Rawalpindi,Used
Toyota,Aqua,2001,1494844,138228,Diesel,Manual,Faisalabad,Used
Toyota,Aqua,2024,2100609,60228,Petrol,Manual,Peshawar,Used
Suzuki,Wagon R,2005,400000,120059,Petrol,Automatic,Faisalabad,Used
BMW,X5,2019,11307850,41963,Petrol,Automatic,Karachi,Used
Honda,Civic,2017,2172334,133022,Diesel,Automatic,Peshawar,Used
Suzuki,Mehran,2013,944278,123973,Petrol,Automatic,Lahore,Used
Toyota,Vitz,2015,1565383,35529,Hybrid,Automatic,Rawalpindi,Used
Kia,Stonic,2005,1148797,170314,Diesel,Automatic,Peshawar,Used
Nissan,Dayz,2013,3008679,54911,Diesel,Automatic,Karachi,Used
Suzuki,Mehran,2012,483142,74543,Petrol,Manual,Islamabad,Used
Kia,Stonic,2004,400000,61148,Petrol,Automatic,Quetta,Used
Honda,City,2022,3144925,165793,Petrol,Automatic,Peshawar,Used
Honda,City,2009,1471567,133508,Diesel,Manual,Peshawar,Used
Honda,BR-V,2003,1129966,122223,Petrol,Manual,Lahore,Used
Suzuki,Wagon R,2021,1107074,131809,Diesel,Manual,Multan,Used
Kia,Sportage,2009,1298085,20939,Petrol,Manual,Faisalabad,Used
Kia,Sorento,2012,2416355,73340,Hybrid,Manual,Quetta,Used
Kia,Stonic,2020,2479299,112429,Petrol,Automatic,Sialkot,Used
Suzuki,Alto,2019,439027,146496,Petrol,Automatic,Multan,Used
Suzuki,Wagon R,2011,1011617,176686,Petrol,Automatic,Peshawar,Used
Honda,City,2017,2055653,47311,Hybrid,Manual,Multan,Used
Suzuki,Cultus,2000,400000,13,Petrol,Manual,Karachi,New
Suzuki,Wagon R,2000,473074,76423,Diesel,Manual,Multan,Used
Suzuki,Wagon R,2002,400000,2,Petrol,Automatic,Lahore,New
Kia,Sorento,2006,1685660,116451,Petrol,Automatic,Faisalabad,Used
Toyota,Yaris,2003,2199235,103718,Petrol,Automatic,Rawalpindi,Used
Changan,Oshan X7,2008,2354019,69124,Petrol,Manual,Multan,Used
BMW,3 Series,2022,10801080,109162,Diesel,Manual,Peshawar,Used
Toyota,Corolla,2020,1979172,30005,Petrol,Automatic,Quetta,Used
Honda,Civic,2004,1714004,153541,Diesel,Automatic,Quetta,Used
Suzuki,Wagon R,2023,933143,89264,Petrol,Manual,Karachi,Used
Toyota,Yaris,2024,3549869,136023,Petrol,Automatic,Peshawar,Used
Toyota,Vitz,2016,1571416,116595,Petrol,Manual,Islamabad,Used
Hyundai,Elantra,2016,1830128,119714,Diesel,Automatic,Karachi,Used
Nissan,Clipper,2005,2107003,41664,Diesel,Manual,Multan,Used
Suzuki,Alto,2013,400000,89511,Petrol,Manual,Islamabad,Used
Suzuki,Mehran,2021,1237845,141152,Petrol,Manual,Quetta,Used
Suzuki,Wagon R,2023,900386,142462,Diesel,Manual,Karachi,Used
Toyota,Yaris,2004,400000,54197,Petrol,Automatic,Sialkot,Used
Toyota,Corolla,2001,3061684,22503,Petrol,Automatic,Peshawar,Used
Honda,City,2008,1741756,85150,Petrol,Manual,Faisalabad,Used
Honda,City,2002,867795,78396,Petrol,Automatic,Islamabad,Used
Hyundai,Santro,2010,2593974,77676,Hybrid,Manual,Rawalpindi,Used
Suzuki,Cultus,2006,739194,18,Petrol,Automatic,Peshawar,New
Suzuki,Alto,2004,400000,179284,Petrol,Manual,Sialkot,Used
Hyundai,Elantra,2017,2541699,98058,Petrol,Manual,Sialkot,Used
Suzuki,Mehran,2006,449301,42456,Diesel,Manual,Quetta,Used
Kia,Stonic,2021,3129348,51664,Petrol,Manual,Quetta,Used
Hyundai,Sonata,2023,3802914,105258,Petrol,Automatic,Rawalpindi,Used
Toyota,Hilux,2006,1666972,12,Hybrid,Manual,Sialkot,New
Audi,Q2,2001,8748744,71332,Petrol,Automatic,Karachi,Used
Daihatsu,Move,2019,3342589,129111,Diesel,Automatic,Karachi,Used
Toyota,Hilux,2022,2167494,26711,Petrol,Automatic,Karachi,Used
Toyota,Corolla,2010,2992885,24,Petrol,Automatic,Peshawar,New
Daihatsu,Move,2022,3825406,140355,Petrol,Manual,Multan,Used
Daihatsu,Cuore,2001,2698869,93,Petrol,Automatic,Quetta,New
Suzuki,Mehran,2006,461053,171540,Diesel,Automatic,Faisalabad,Used
Toyota,Aqua,2003,3226127,153423,Hybrid,Automatic,Lahore,Used
Nissan,Dayz,2023,2734213,80,Hybrid,Automatic,Karachi,New
Suzuki,Wagon R,2014,455307,87,Petrol,Automatic,Islamabad,New
Toyota,Vitz,2022,2593247,153121,Petrol,Automatic,Rawalpindi,Used
Toyota,Yaris,2005,1113048,74348,Petrol,Manual,Peshawar,Used
Toyota,Hilux,2014,1966882,158412,Petrol,Automatic,Multan,Used
Toyota,Aqua,2006,1951544,75503,Petrol,Automatic,Faisalabad,Used
Suzuki,Wagon R,2001,400000,129573,Petrol,Manual,Peshawar,Used
Honda,N WGN,2001,400000,7070,Petrol,Manual,Peshawar,Used
Toyota,Corolla,2005,1999324,127379,Petrol,Automatic,Quetta,Used
Hyundai,Santro,2018,2890344,129144,Diesel,Manual,Peshawar,Used
Honda,Fit,2021,1516183,137896,Petrol,Manual,Faisalabad,Used
BMW,X5,2018,7039354,76,Hybrid,Automatic,Islamabad,New
Suzuki,Wagon R,2001,400000,95728,Petrol,Automatic,Quetta,Used
Suzuki,Cultus,2006,400000,26069,Petrol,Automatic,Multan,Used
Suzuki,Cultus,2004,779477,130132,Petrol,Automatic,Quetta,Used
Honda,Fit,2022,3342352,126499,Diesel,Automatic,Multan,Used
Suzuki,Cultus,2012,400000,161483,Petrol,Automatic,Peshawar,Used
Honda,N WGN,2000,1027529,101765,Petrol,Automatic,Multan,Used
Nissan,Juke,2007,1849822,60373,Petrol,Automatic,Peshawar,Used
Toyota,Yaris,2013,2027114,131000,Petrol,Manual,Islamabad,Used
Suzuki,Mehran,2003,400000,31582,Petrol,Manual,Karachi,Used
Suzuki,Cultus,2018,1147671,132438,Petrol,Manual,Multan,Used
Hyundai,Sonata,2013,896055,123035,Petrol,Manual,Peshawar,Used
Daihatsu,Move,2003,1395126,105524,Diesel,Automatic,Islamabad,Used
Suzuki,Mehran,2008,400000,119003,Petrol,Manual,Karachi,Used
Suzuki,Swift,2014,744401,71145,Petrol,Manual,Karachi,Used
Honda,City,2009,400000,90100,Petrol,Automatic,Lahore,Used
Toyota,Corolla,2017,2242040,27032,Petrol,Automatic,Islamabad,Used
Honda,Fit,2008,2589216,142247,Petrol,Automatic,Lahore,Used
Toyota,Corolla,2004,522979,139383,Hybrid,Automatic,Peshawar,Used
Audi,Q2,2013,7820380,118622,Hybrid,Automatic,Faisalabad,Used
Changan,Oshan X7,2016,2311171,103103,Petrol,Automatic,Multan,Used
Toyota,Yaris,2008,400000,109509,Hybrid,Manual,Faisalabad,Used
Suzuki,Cultus,2000,600945,77028,Petrol,Manual,Lahore,Used
Suzuki,Alto,2022,751365,164728,Diesel,Manual,Peshawar,Used
Honda,Fit,2017,2495291,44,Diesel,Automatic,Quetta,New
Daihatsu,Move,2006,932819,72028,Petrol,Automatic,Quetta,Used
Honda,BR-V,2002,2216688,84700,Petrol,Manual,Quetta,Used
Kia,Sportage,2004,877574,153083,Petrol,Automatic,Faisalabad,Used
Honda,Fit,2007,3121390,104202,Petrol,Automatic,Lahore,Used
Toyota,Yaris,2003,1391241,110150,Petrol,Manual,Rawalpindi,Used
Toyota,Hilux,2008,2481729,179125,Diesel,Manual,Sialkot,Used
Honda,Fit,2007,2201778,80047,Diesel,Manual,Islamabad,Used
Audi,A4,2012,7832415,177016,Petrol,Automatic,Multan,Used
Honda,Fit,2013,1078571,41325,Petrol,Automatic,Multan,Used
BMW,X5,2019,10837763,28846,Hybrid,Automatic,Multan,Used
Honda,City,2005,1687426,128776,Hybrid,Automatic,Peshawar,Used
Suzuki,Alto,2000,400000,69237,Petrol,Manual,Rawalpindi,Used
Hyundai,Santro,2016,2562401,69189,Petrol,Automatic,Karachi,Used
Hyundai,Santro,2016,2882354,114337,Hybrid,Automatic,Sialkot,Used
Kia,Sorento,2015,1225170,109437,Diesel,Automatic,Peshawar,Used
Toyota,Hilux,2020,3152590,32164,Petrol,Manual,Lahore,Used
Kia,Stonic,2013,1524932,131508,Petrol,Automatic,Peshawar,Used
Honda,Civic,2014,3041053,73157,Petrol,Manual,Peshawar,Used
Hyundai,Sonata,2018,1419811,43803,Petrol,Automatic,Rawalpindi,Used
Nissan,Juke,2011,2256499,153803,Petrol,Manual,Quetta,Used
Kia,Picanto,2023,1999985,164239,Petrol,Manual,Faisalabad,Used
Honda,Civic,2006,400000,8163,Petrol,Manual,Quetta,Used
Honda,City,2011,2848797,87390,Petrol,Manual,Quetta,Used
Honda,N WGN,2015,2896515,21974,Petrol,Manual,Rawalpindi,Used
Suzuki,Wagon R,2019,696335,98454,Petrol,Automatic,Sialkot,Used
Nissan,Juke,2006,400000,169207,Petrol,Manual,Sialkot,Used
Suzuki,Mehran,2017,1150958,19673,Petrol,Automatic,Rawalpindi,Used
Suzuki,Cultus,2022,957136,124554,Petrol,Manual,Sialkot,Used
Toyota,Yaris,2023,1729673,141985,Petrol,Automatic,Rawalpindi,Used
Suzuki,Mehran,2015,1122760,88586,Diesel,Automatic,Rawalpindi,Used
Toyota,Vitz,2002,400000,159501,Petrol,Manual,Faisalabad,Used
Honda,N WGN,2013,1109578,173460,Petrol,Manual,Karachi,Used
Suzuki,Swift,2019,1246095,91150,Petrol,Manual,Faisalabad,Used
Toyota,Hilux,2007,2393184,85951,Petrol,Automatic,Islamabad,Used
Honda,BR-V,2016,1836740,22186,Diesel,Manual,Lahore,Used
Audi,Q5,2010,6896990,33498,Diesel,Automatic,Faisalabad,Used
Honda,BR-V,2024,1931665,164783,Petrol,Automatic,Peshawar,Used
Suzuki,Swift,2005,668455,90375,Hybrid,Manual,Multan,Used
Hyundai,Sonata,2007,2463119,102200,Petrol,Manual,Peshawar,Used
Hyundai,Sonata,2014,3146774,114346,Petrol,Manual,Karachi,Used
Changan,Karvaan,2020,3192574,10106,Diesel,Automatic,Rawalpindi,Used
Kia,Stonic,2009,666556,117066,Diesel,Manual,Sialkot,Used
Honda,City,2006,2339582,33006,Petrol,Automatic,Peshawar,Used
Kia,Sorento,2001,1207791,70495,Petrol,Manual,Karachi,Used
Suzuki,Wagon R,2008,400000,34106,Petrol,Automatic,Peshawar,Used
Changan,Oshan X7,2013,1060528,83343,Petrol,Automatic,Quetta,Used
Suzuki,Mehran,2017,422635,144205,Diesel,Automatic,Islamabad,Used
Hyundai,Tucson,2022,2682154,121874,Diesel,Automatic,Islamabad,Used
Toyota,Yaris,2014,1795094,71940,Petrol,Automatic,Islamabad,Used
Suzuki,Swift,2013,1020737,143516,Petrol,Manual,Karachi,Used
Honda,Civic,2016,2146855,133977,Petrol,Manual,Lahore,Used
Kia,Sportage,2017,3445207,139611,Diesel,Automatic,Quetta,Used
Honda,City,2024,3307521,59,Petrol,Automatic,Peshawar,New
Suzuki,Mehran,2010,933991,110241,Petrol,Automatic,Multan,Used
Suzuki,Cultus,2010,400000,158190,Petrol,Manual,Sialkot,Used
Toyota,Yaris,2024,2987490,45004,Petrol,Automatic,Rawalpindi,Used
Toyota,Corolla,2000,784964,146577,Petrol,Automatic,Peshawar,Used
Daihatsu,Mira,2021,2646372,116223,Electric,Automatic,Rawalpindi,Used
Hyundai,Tucson,2004,2621267,103333,Petrol,Automatic,Multan,Used
Suzuki,Swift,2012,400000,37676,Petrol,Automatic,Sialkot,Used
Nissan,Juke,2016,2093085,133216,Diesel,Manual,Peshawar,Used
Toyota,Yaris,2002,1191077,71921,Petrol,Manual,Karachi,Used
Suzuki,Swift,2012,400000,99474,Hybrid,Automatic,Multan,Used
BMW,3 Series,2009,10390084,128564,Petrol,Manual,Peshawar,Used
Suzuki,Cultus,2005,400000,45831,Petrol,Manual,Karachi,Used
Suzuki,Cultus,2023,1115381,46283,Petrol,Automatic,Sialkot,Used
Changan,Oshan X7,2021,1834975,12859,Petrol,Manual,Multan,Used
Honda,BR-V,2019,1291034,12470,Diesel,Automatic,Islamabad,Used
Nissan,Dayz,2017,3407131,46463,Petrol,Manual,Rawalpindi,Used
Suzuki,Alto,2003,400000,145699,Petrol,Automatic,Faisalabad,Used
Toyota,Aqua,2004,2406525,165854,Petrol,Automatic,Quetta,Used
Honda,N WGN,2006,2992699,42380,Petrol,Automatic,Lahore,Used
Kia,Stonic,2019,2184574,53398,Diesel,Manual,Peshawar,Used
Kia,Sorento,2021,3381104,74920,Diesel,Automatic,Peshawar,Used
Toyota,Yaris,2018,1220755,170643,Petrol,Automatic,Islamabad,Used
Suzuki,Alto,2007,772104,154969,Petrol,Manual,Rawalpindi,Used
Honda,N WGN,2012,1448288,167873,Petrol,Manual,Lahore,Used
Kia,Stonic,2010,1533040,94386,Diesel,Manual,Sialkot,Used
Toyota,Corolla,2021,3513787,21545,Diesel,Manual,Karachi,Used
Changan,Alsvin,2003,2692728,36530,Petrol,Manual,Islamabad,Used
Daihatsu,Move,2014,986439,52870,Petrol,Automatic,Islamabad,Used
Daihatsu,Mira,2024,2984517,76,Diesel,Automatic,Sialkot,New
Toyota,Yaris,2022,3642918,103165,Petrol,Automatic,Rawalpindi,Used
Daihatsu,Cuore,2004,2348410,77986,Petrol,Manual,Faisalabad,Used
Toyota,Hilux,2013,2778817,40683,Diesel,Manual,Karachi,Used
Suzuki,Mehran,2021,1149338,22515,Petrol,Manual,Islamabad,Used
Suzuki,Cultus,2024,1054240,46797,Petrol,Manual,Rawalpindi,Used
Suzuki,Wagon R,2002,400000,110235,Petrol,Automatic,Rawalpindi,Used
Toyota,Aqua,2024,1991958,86568,Petrol,Manual,Rawalpindi,Used
Kia,Stonic,2003,2562773,23455,Diesel,Manual,Faisalabad,Used
BMW,X1,2012,5972774,116649,Petrol,Manual,Faisalabad,Used
Suzuki,Alto,2002,400000,100040,Petrol,Manual,Multan,Used
Toyota,Corolla,2024,2657064,172841,Petrol,Manual,Faisalabad,Used
Changan,Alsvin,2000,2292955,158559,Petrol,Manual,Faisalabad,Used
Suzuki,Swift,2017,908282,164023,Petrol,Manual,Karachi,Used
Honda,N WGN,2020,3784588,35794,Hybrid,Automatic,Peshawar,Used
Honda,N WGN,2013,946474,174630,Diesel,Manual,Sialkot,Used
Suzuki,Swift,2020,1159332,61633,Petrol,Automatic,Peshawar,Used
Suzuki,Swift,2000,400000,95190,Petrol,Automatic,Faisalabad,Used
Toyota,Corolla,2010,2029144,59887,Petrol,Manual,Multan,Used
Hyundai,Elantra,2015,2304905,166586,Petrol,Automatic,Peshawar,Used
Hyundai,Tucson,2023,3142146,79,Petrol,Automatic,Multan,New
Suzuki,Swift,2011,400000,46737,Hybrid,Manual,Karachi,Used
Suzuki,Mehran,2009,400000,82648,Diesel,Automatic,Multan,Used
Honda,Civic,2006,2215810,18,Diesel,Manual,Multan,New
Suzuki,Swift,2003,400000,26551,Petrol,Automatic,Quetta,Used
Hyundai,Elantra,2017,2484173,134628,Petrol,Automatic,Rawalpindi,Used
Daihatsu,Move,2020,2023246,82802,Petrol,Automatic,Quetta,Used
Daihatsu,Move,2017,3566345,113088,Petrol,Manual,Multan,Used
Hyundai,Sonata,2008,2216676,88926,Petrol,Automatic,Islamabad,Used
Toyota,Yaris,2017,1299675,129711,Petrol,Automatic,Rawalpindi,Used
Kia,Picanto,2014,919903,167216,Petrol,Manual,Lahore,Used
BMW,X1,2000,10793915,96122,Petrol,Automatic,Lahore,Used
Kia,Sportage,2023,2533401,161693,Petrol,Automatic,Multan,Used
Suzuki,Swift,2009,400000,65965,Petrol,Manual,Islamabad,Used
Hyundai,Sonata,2000,400000,158995,Petrol,Automatic,Lahore,Used
Honda,City,2023,2208454,12729,Petrol,Manual,Lahore,Used
Toyota,Corolla,2012,2244035,104953,Petrol,Automatic,Peshawar,Used
Suzuki,Wagon R,2011,561863,135988,Petrol,Manual,Multan,Used
Suzuki,Wagon R,2020,839390,29648,Petrol,Automatic,Karachi,Used
Changan,Alsvin,2021,2146117,143705,Petrol,Manual,Multan,Used
Toyota,Hilux,2018,1535469,54409,Petrol,Manual,Islamabad,Used
Honda,BR-V,2003,400000,103085,Petrol,Manual,Islamabad,Used
Honda,Fit,2000,2896455,86701,Hybrid,Automatic,Peshawar,Used
Kia,Picanto,2003,802493,124188,Hybrid,Manual,Quetta,Used
BMW,3 Series,2017,8797942,30,Hybrid,Manual,Rawalpindi,New
Hyundai,Tucson,2011,2247788,12,Diesel,Automatic,Peshawar,New
Nissan,Juke,2018,3258058,148230,Petrol,Manual,Peshawar,Used
Suzuki,Cultus,2009,400000,119069,Petrol,Manual,Karachi,Used
Honda,BR-V,2017,2710123,135446,Electric,Manual,Karachi,Used
Honda,Civic,2006,1042153,154756,Petrol,Manual,Karachi,Used
Honda,Civic,2009,1618136,18745,Diesel,Manual,Sialkot,Used
Honda,City,2016,1302660,30860,Petrol,Automatic,Rawalpindi,Used
Kia,Sportage,2022,2177395,172882,Petrol,Automatic,Multan,Used
Suzuki,Alto,2009,400000,22,Hybrid,Automatic,Peshawar,New
Nissan,Clipper,2001,1294205,115845,Petrol,Manual,Rawalpindi,Used
BMW,3 Series,2023,11769158,114022,Diesel,Manual,Faisalabad,Used
Daihatsu,Mira,2024,1543745,15957,Petrol,Manual,Islamabad,Used
Kia,Picanto,2002,1085252,133066,Petrol,Manual,Islamabad,Used
BMW,X5,2021,8118268,80088,Petrol,Manual,Lahore,Used
Hyundai,Santro,2006,2291948,57635,Petrol,Automatic,Quetta,Used
Toyota,Corolla,2007,2376614,10,Diesel,Automatic,Rawalpindi,New
Toyota,Aqua,2014,2371482,15761,Petrol,Automatic,Rawalpindi,Used
Kia,Sportage,2018,1752068,32,Hybrid,Manual,Quetta,New
Suzuki,Alto,2012,400000,21685,Petrol,Automatic,Peshawar,Used
Kia,Sorento,2000,537876,162721,Petrol,Automatic,Islamabad,Used
Honda,BR-V,2001,400000,140802,Petrol,Automatic,Peshawar,Used
Toyota,Yaris,2003,400000,5896,Petrol,Manual,Lahore,Used
Daihatsu,Cuore,2001,1290397,175095,Diesel,Manual,Multan,Used
Toyota,Hilux,2012,1485280,165591,Petrol,Manual,Quetta,Used
Nissan,Dayz,2014,2517126,42855,Petrol,Automatic,Multan,Used
Changan,Alsvin,2011,2539908,42744,Petrol,Manual,Sialkot,Used
Daihatsu,Move,2004,2034823,111376,Petrol,Manual,Quetta,Used
Kia,Sorento,2012,2164081,179423,Petrol,Automatic,Rawalpindi,Used
Suzuki,Cultus,2018,1085555,126471,Petrol,Manual,Peshawar,Used
Honda,City,2012,861923,175980,Petrol,Manual,Karachi,Used
Suzuki,Wagon R,2017,999111,140659,Petrol,Manual,Karachi,Used
Kia,Sorento,2018,2083341,45856,Petrol,Automatic,Islamabad,Used
Toyota,Vitz,2007,623157,87893,Petrol,Automatic,Lahore,Used
Hyundai,Tucson,2000,400000,11,Petrol,Manual,Rawalpindi,New
Kia,Picanto,2009,2101985,157947,Hybrid,Manual,Quetta,Used
Toyota,Yaris,2009,3242537,44850,Petrol,Automatic,Sialkot,Used
Nissan,Clipper,2005,2389150,70376,Hybrid,Automatic,Quetta,Used
Suzuki,Alto,2004,400000,130011,Petrol,Automatic,Peshawar,Used
Audi,A4,2014,10692255,95132,Diesel,Automatic,Peshawar,Used
Suzuki,Cultus,2019,1014771,34090,Electric,Automatic,Peshawar,Used
Toyota,Corolla,2011,3287948,168017,Diesel,Manual,Islamabad,Used
Toyota,Aqua,2006,3267552,133348,Petrol,Automatic,Karachi,Used
Honda,BR-V,2008,2288098,15605,Petrol,Manual,Lahore,Used
Toyota,Corolla,2004,400000,10036,Petrol,Automatic,Quetta,Used
Toyota,Corolla,2022,2945475,101152,Diesel,Manual,Multan,Used
Kia,Picanto,2011,3228168,133143,Petrol,Automatic,Quetta,Used
Nissan,Dayz,2021,3529388,11031,Diesel,Automatic,Rawalpindi,Used
Suzuki,Wagon R,2002,400000,24768,Petrol,Automatic,Peshawar,Used
Daihatsu,Cuore,2002,2038418,179309,Petrol,Automatic,Karachi,Used
Kia,Picanto,2023,2246338,29008,Petrol,Automatic,Rawalpindi,Used
Suzuki,Alto,2012,812058,129792,Diesel,Manual,Islamabad,Used
Toyota,Hilux,2001,3149942,25855,Petrol,Automatic,Faisalabad,Used
Suzuki,Mehran,2018,750442,54335,Petrol,Manual,Rawalpindi,Used
Suzuki,Mehran,2009,470145,62215,Petrol,Manual,Rawalpindi,Used
Honda,BR-V,2009,1350035,21458,Petrol,Automatic,Multan,Used
Suzuki,Swift,2000,400000,159177,Diesel,Manual,Lahore,Used
Honda,BR-V,2014,2829608,135992,Petrol,Manual,Peshawar,Used
Honda,City,2007,552776,112408,Petrol,Manual,Peshawar,Used
Audi,Q5,2014,9393010,42246,Diesel,Manual,Multan,Used
BMW,X1,2010,8399487,8656,Petrol,Automatic,Islamabad,Used
Honda,City,2006,1666942,19,Petrol,Automatic,Karachi,New
Honda,City,2009,2958141,64700,Petrol,Manual,Multan,Used
Toyota,Yaris,2015,1153809,32790,Petrol,Manual,Quetta,Used
Honda,City,2007,2750769,114142,Petrol,Manual,Islamabad,Used
Toyota,Aqua,2021,1715483,38928,Petrol,Manual,Peshawar,Used
Hyundai,Elantra,2011,3118550,9642,Petrol,Manual,Rawalpindi,Used
Suzuki,Wagon R,2022,962890,78539,Petrol,Manual,Rawalpindi,Used
Nissan,Clipper,2020,2069372,164747,Petrol,Automatic,Quetta,Used
Honda,Civic,2010,916002,43890,Petrol,Automatic,Sialkot,Used
Honda,N WGN,2023,3314214,55641,Diesel,Manual,Islamabad,Used
Toyota,Corolla,2015,946814,98367,Diesel,Manual,Sialkot,Used
Suzuki,Wagon R,2010,400000,145590,Petrol,Automatic,Lahore,Used
Toyota,Corolla,2023,3609650,79044,Petrol,Manual,Multan,Used
Kia,Sportage,2009,1222079,11627,Petrol,Manual,Lahore,Used
Toyota,Yaris,2014,3423197,160672,Petrol,Manual,Lahore,Used
Audi,Q5,2008,7727147,158742,Petrol,Automatic,Lahore,Used
Suzuki,Wagon R,2017,519384,103311,Petrol,Manual,Peshawar,Used
Toyota,Aqua,2019,1359441,89938,Petrol,Automatic,Sialkot,Used
Suzuki,Cultus,2015,526150,19,Petrol,Automatic,Rawalpindi,New
Suzuki,Wagon R,2011,400000,23239,Petrol,Automatic,Sialkot,Used
Toyota,Vitz,2022,1780949,122571,Petrol,Manual,Rawalpindi,Used
Suzuki,Mehran,2000,400000,5,Petrol,Automatic,Islamabad,New
BMW,X1,2016,10746118,10047,Petrol,Manual,Quetta,Used
Suzuki,Swift,2017,400000,4,Petrol,Manual,Karachi,New
Toyota,Corolla,2018,3386410,109118,Petrol,Automatic,Faisalabad,Used
Toyota,Aqua,2016,1548384,72181,Petrol,Manual,Faisalabad,Used
Toyota,Aqua,2014,2914926,26,Petrol,Automatic,Multan,New
Hyundai,Elantra,2006,1886768,160519,Diesel,Manual,Quetta,Used
Suzuki,Cultus,2018,774087,138981,Petrol,Automatic,Rawalpindi,Used
Hyundai,Sonata,2006,1997461,125031,Hybrid,Automatic,Quetta,Used
Toyota,Hilux,2009,2089661,166577,Petrol,Automatic,Karachi,Used
Honda,Civic,2008,1519403,104987,Diesel,Automatic,Lahore,Used
Suzuki,Cultus,2020,968257,24949,Petrol,Automatic,Faisalabad,Used
Hyundai,Tucson,2009,2714118,36542,Hybrid,Automatic,Quetta,Used
Suzuki,Alto,2002,400000,151130,Petrol,Automatic,Quetta,Used
Suzuki,Cultus,2006,765234,4,Petrol,Manual,Multan,New
Suzuki,Alto,2018,1318957,78616,Diesel,Manual,Rawalpindi,Used
Hyundai,Tucson,2021,2136487,122437,Diesel,Automatic,Multan,Used
Honda,Fit,2007,719949,100429,Petrol,Manual,Quetta,Used
Hyundai,Elantra,2011,1858329,146758,Petrol,Manual,Multan,Used
Suzuki,Swift,2011,406011,43701,Diesel,Manual,Sialkot,Used
Toyota,Vitz,2002,677648,99022,Petrol,Manual,Sialkot,Used
Daihatsu,Mira,2001,400000,94561,Petrol,Automatic,Islamabad,Used
Changan,Alsvin,2022,3187984,136434,Petrol,Automatic,Karachi,Used
Suzuki,Mehran,2021,846113,133235,Petrol,Manual,Sialkot,Used
Audi,Q5,2007,11192559,64195,Petrol,Manual,Islamabad,Used
Daihatsu,Mira,2022,3547814,63,Petrol,Automatic,Faisalabad,New
Suzuki,Swift,2009,878408,55071,Petrol,Automatic,Faisalabad,Used
Suzuki,Cultus,2024,870277,123646,Hybrid,Manual,Peshawar,Used
Kia,Sportage,2022,2797713,103281,Petrol,Manual,Quetta,Used
Honda,N WGN,2001,400000,88789,Petrol,Manual,Quetta,Used
